iter	Logloss
0	0.667514714
1	0.6518301182
2	0.6343469496
3	0.6210574766
4	0.6121135046
5	0.5970381065
6	0.5876291453
7	0.5796819577
8	0.573290149
9	0.5632177374
10	0.5582642437
11	0.551210395
12	0.5444604909
13	0.5392251065
14	0.5319757008
15	0.5260898375
16	0.51895598
17	0.5125062198
18	0.5088428034
19	0.5049550928
20	0.5028070046
21	0.4988273409
22	0.4958388182
23	0.4920328177
24	0.487497915
25	0.4831194842
26	0.4773504455
27	0.4746638587
28	0.4723712105
29	0.4697054277
30	0.4668763458
31	0.4606223889
32	0.4562305621
33	0.450055245
34	0.4440142654
35	0.4420991765
36	0.4405790757
37	0.4382182597
38	0.4333990497
39	0.4305343355
40	0.4278686182
41	0.4231413956
42	0.4204656735
43	0.4164539333
44	0.4133730844
45	0.4109841335
46	0.4092266219
47	0.4064981367
48	0.4050605661
49	0.4029740229
50	0.4003641639
51	0.3983639437
52	0.3966889084
53	0.3947408067
54	0.3935214097
55	0.3912334489
56	0.3867273757
57	0.3832961826
58	0.3809895608
59	0.377824929
60	0.373777185
61	0.3715637538
62	0.3695947845
63	0.3667896519
64	0.3650132785
65	0.3629186269
66	0.3596793673
67	0.3571883992
68	0.3560028111
69	0.3520778715
70	0.3492705753
71	0.3453938011
72	0.3443264161
73	0.3425182605
74	0.3399666118
75	0.3380060269
76	0.3364226036
77	0.3325139283
78	0.3306590886
79	0.3289536814
80	0.3267712756
81	0.3262488736
82	0.3256752713
83	0.3215453318
84	0.3192446274
85	0.3187041928
86	0.3173331971
87	0.3139866839
88	0.3113223233
89	0.3095363155
90	0.3070506324
91	0.3031343723
92	0.2995584939
93	0.2978675466
94	0.2971611241
95	0.2947104671
96	0.2925979933
97	0.2894745067
98	0.2863348274
99	0.2859647098
