iter	Passed	Remaining
0	58	5836
1	60	2946
2	61	1981
3	62	1497
4	63	1213
5	65	1028
6	67	890
7	68	785
8	69	703
9	70	638
10	72	583
11	73	537
12	74	497
13	75	464
14	76	435
15	78	409
16	79	387
17	80	367
18	81	348
19	82	331
20	84	317
21	85	304
22	86	291
23	88	279
24	89	267
25	91	259
26	92	249
27	93	241
28	95	232
29	96	224
30	97	216
31	98	209
32	100	203
33	101	196
34	102	190
35	103	184
36	105	179
37	106	173
38	107	168
39	109	163
40	110	158
41	111	153
42	112	149
43	113	144
44	115	140
45	116	136
46	117	132
47	119	129
48	120	125
49	121	121
50	123	118
51	124	114
52	125	111
53	126	108
54	128	104
55	129	101
56	130	98
57	132	95
58	133	92
59	134	89
60	135	86
61	136	83
62	138	81
63	139	78
64	140	75
65	141	73
66	143	70
67	144	68
68	145	65
69	146	62
70	148	60
71	149	58
72	151	55
73	152	53
74	153	51
75	154	48
76	156	46
77	157	44
78	158	42
79	160	40
80	162	38
81	163	35
82	164	33
83	166	31
84	167	29
85	168	27
86	170	25
87	171	23
88	172	21
89	174	19
90	175	17
91	176	15
92	178	13
93	179	11
94	180	9
95	182	7
96	183	5
97	184	3
98	186	1
99	187	0
